Song Number,Song Name,Artist Name,Album Name,Release Date,Popularity
147,Enna Sona,A.R. Rahman,OK Jaanu (Original Motion Picture Soundtrack),2017-01-04,75
148,"Jinguchaa (From ""Thug Life"") (Tamil)",A.R. Rahman,"Jinguchaa (From ""Thug Life"") (Tamil)",2025-04-18,73
149,Maahi Ve,A.R. Rahman,Highway,2014-01-22,74
150,Kun Faya Kun,A.R. Rahman,Rockstar,2011-10-01,73
151,FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,2023-07-28,88
152,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,87
153,Open Arms (feat. Travis Scott),SZA,SOS,2022-12-08,84
154,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,86
155,SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,86
156,CHAMPAIN & VACAY,Travis Scott,CHAMPAIN & VACAY,2025-07-11,55
157,KICK OUT,Travis Scott,JACKBOYS 2,2025-07-13,85
158,BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2018-08-02,68
159,DUMBO,Travis Scott,JACKBOYS 2,2025-07-13,85
160,Type Shit,Future,WE DON'T TRUST YOU,2024-03-22,84
161,"Jugraafiya - From ""Super 30""",Udit Narayan,"Jugraafiya (From ""Super 30"")",2019-06-15,76
162,Jaadu Teri Nazar,Udit Narayan,Darr,1993-12-24,72
163,Falak Tak,Vishal-Shekhar,Tashan,2008-03-27,72
164,"Mere Mehboob Mere Sanam (From ""Bad Newz"")",Udit Narayan,"Mere Mehboob Mere Sanam (From ""Bad Newz"")",2024-07-13,70
165,Aankhein Khuli,Jatin-Lalit,Mohabbatein,2000-08-27,70
166,Kuch Kuch Hota Hai,Jatin-Lalit,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),1998-08-19,70
167,"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")",Udit Narayan,My Best Collection - Udit Narayan,2016-07-01,62
168,Enkeyoo Partha,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),2008-10-17,69
169,Ae Mere Humsafar,Alka Yagnik,Qayamat Se Qayamat Tak,1988-01-04,69
170,"Agar Tum Mil Jao - From ""Zeher""",Udit Narayan,Zeher (Original Motion Picture Soundtrack),2005-03-25,49
171,Sprinter,Dave,Sprinter,2023-06-01,85
172,BAND4BAND (feat. Lil Baby),Central Cee,CAN'T RUSH GREATNESS,2025-01-24,78
173,GUILT TRIPPIN (feat. Sexyy Red),Central Cee,GUILT TRIPPIN (feat. Sexyy Red),2025-06-19,83
174,GBP (feat. 21 Savage),Central Cee,CAN'T RUSH GREATNESS,2025-01-24,78
175,Doja,Central Cee,Doja,2022-07-21,81
176,Did It First (with Central Cee),Ice Spice,Y2K!,2024-07-26,76
177,CRG (feat. Dave),Central Cee,CAN'T RUSH GREATNESS,2025-01-24,78
178,DILEMMA (feat. Central Cee),Nemzzz,RENT'S DUE (DELUXE),2025-03-31,76
179,Overseas,D-Block Europe,Home Alone 2,2021-11-19,73
180,LET GO,Central Cee,LET GO,2022-12-15,76
181,luther (with sza),Kendrick Lamar,GNX,2024-11-21,91
182,"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,94
183,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,92
184,tv off (feat. lefty gunplay),Kendrick Lamar,GNX,2024-11-22,90
185,Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",2012,85
186,HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,88
187,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,87
188,squabble up,Kendrick Lamar,GNX,2024-11-22,86
189,Like That,Future,WE DON'T TRUST YOU,2024-03-22,86
190,PRIDE.,Kendrick Lamar,DAMN.,2017-04-14,86
191,Tell Me What You Want,Oden & Fatzo,Tell Me What You Want,2024-06-14,78
192,Miss You,Nu Aspect,Miss You,2023-01-13,73
193,Drifting,Tiësto,Drifting,2023-06-22,73
194,Over The Edge,Nu Aspect,Over The Edge,2024-09-27,64
195,Temptation (feat. Poppy Baskcomb),Jess Bays,Temptation (feat. Poppy Baskcomb),2022-02-18,63
196,Upside Down (feat. Poppy Baskcomb),MEDUZA,Upside Down (feat. Poppy Baskcomb),2023-04-14,53
197,Save Me,Anyma,Genesys,2023-08-11,62
198,Where Do We Go (feat. Poppy Baskcomb),Dimension,Where Do We Go (feat. Poppy Baskcomb),2023-02-10,60
